MemTotal:       28470912 kB
MemFree:         3433220 kB
MemAvailable:   17046576 kB
Buffers:          651552 kB
Cached:         11568068 kB
SwapCached:       317984 kB
Active:          8665460 kB
Inactive:       11736608 kB
Active(anon):    6635812 kB
Inactive(anon):  2152836 kB
Active(file):    2029648 kB
Inactive(file):  9583772 kB
Unevictable:        2108 kB
Mlocked:            2108 kB
SwapTotal:      22242808 kB
SwapFree:       18153724 kB
Zswap:                 0 kB
Zswapped:              0 kB
Dirty:               780 kB
Writeback:             0 kB
AnonPages:       7807792 kB
Mapped:          1377316 kB
Shmem:            605032 kB
KReclaimable:    2433828 kB
Slab:            3239880 kB
SReclaimable:    2433828 kB
SUnreclaim:       806052 kB
KernelStack:       48556 kB
PageTables:       191656 kB
SecPageTables:      4848 kB
NFS_Unstable:          0 kB
Bounce:                0 kB
WritebackTmp:          0 kB
CommitLimit:    36478264 kB
Committed_AS:   48311024 kB
VmallocTotal:   34359738367 kB
VmallocUsed:      185472 kB
VmallocChunk:          0 kB
Percpu:            19200 kB
HardwareCorrupted:     0 kB
AnonHugePages:   1574912 kB
ShmemHugePages:        0 kB
ShmemPmdMapped:        0 kB
FileHugePages:         0 kB
FilePmdMapped:         0 kB
Unaccepted:            0 kB
Balloon:               0 kB
GPUActive:        241164 kB
GPUReclaim:        40988 kB
HugePages_Total:       0
HugePages_Free:        0
HugePages_Rsvd:        0
HugePages_Surp:        0
Hugepagesize:       2048 kB
Hugetlb:               0 kB
DirectMap4k:     2034460 kB
DirectMap2M:    24969216 kB
DirectMap1G:     3145728 kB
